Entity Type,Operating Status,Out of Service Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,USDOT Number,State Carrier ID Number,MC/MX/FF Number(s),DUNS Number,Power Units,Drivers,MCS-150 Form Date,MCS-150 Mileage (Year)
CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,None,HANOVER FOODS CORP,,"1125 WILSON AVE
            HANOVER, PA   17331",(717) 633-3906,"P O BOX 334
          HANOVER, PA   17331",5779,,,30-044-39,2,2,03/31/2022,1 (2021)
CARRIER,ACTIVE,None,C & J CLARK AMERICA INC,THE CLARKS COMPANIES N A,"355 KINDIG LANE
            HANOVER, PA   17331-1732",(717) 632-2444,"355 KINDIG LANE
          HANOVER, PA   17331-1732",5784,,,61-346-7901,1,5,12/13/2023,"10,000 (2003)"
CARRIER,AUTHORIZED FOR Property,None,HARSCO CORPORATION,,"100 - 120 N 18TH ST  17TH FLOOR
            PHILADELPHIA, PA   19103",(717) 773-1233,"100 - 120 N 18TH ST  17TH FLOOR
          PHILADELPHIA, PA   19103",5793,,MC-781376,30-022-68,4,4,05/12/2023,"3,500 (2022)"
CARRIER,ACTIVE,None,HERSHEY CREAMERY CO,HERSHEY'S ICE CREAM,"301 S CAMERON ST
            HARRISBURG, PA   17101",(717) 238-8134,"301 S CAMERON ST
          HARRISBURG, PA   17101",5810,,,30-100-22,323,220,06/13/2023,"5,021,396 (2021)"
CARRIER,ACTIVE,None,W R HICKEY BEER DISTRIBUTORS INC,W R HICKEY BEER DIST,"1357 EAST COLLEGE AVE
            STATE COLLEGE, PA   16828",(814) 238-3057,"1357 EAST COLLEGE AVE
          STATE COLLEGE, PA   16828",5822,,,--,10,11,05/19/2021,"80,000 (2020)"
CARRIER,AUTHORIZED FOR Property,None,HIGH STEEL STRUCTURES LLC,,"1853 WILLIAM PENN WAY
            LANCASTER, PA   17605-0008",(717) 293-4458,"1915 OLD PHILADELPHIA PIKE
          LANCASTER, PA   17605-0008",5825,,MC-199304,84-877-505,5,22,04/20/2022,"13,401 (2021)"
CARRIER,ACTIVE,None,HOLLY WOODCRAFTERS INC,,"MILL STREET & WOODCRAFT DRIVE
            MOUNT HOLLY SPRINGS, PA   17065",(717) 486-5862,"P O BOX 26
          MOUNT HOLLY SPRINGS, PA   17065-0026",5839,,,00-340-8002,3,3,09/26/2005,"6,000 (2004)"
CARRIER/CARGO TANK,ACTIVE,None,LIQUID & PETROLEUM SERVICES INC,LPS INC,"6808 LOIS AVE
            SALISBURY, MD   21802",(410) 546-9595,"PO BOX 3374
          SALISBURY, MD   21802",5844,,,--,1,2,03/10/2023,"2,000 (2023)"
CARRIER,ACTIVE,None,O W HOUTS & SON INC,,"120 N BUCKHOUT ST
            STATE COLLEGE, PA   16801-3710",(814) 238-6701,"120 N BUCKHOUT ST
          STATE COLLEGE, PA   16801-3710",5848,,,00-302-8057,3,2,08/02/2004,"17,938 (2003)"
CARRIER/SHIPPER,ACTIVE,None,GARBRICK AMUSEMENTS,,"385 NORTH PENNSYLVANIA AVENUE
            CENTRE HALL, PA   16828",(814) 364-1403,"PO BOX 203
          CENTRE HALL, PA   16828",5863,,,30-055-01,4,2,03/15/2023,"17,792 (2021)"
CARRIER,AUTHORIZED FOR Property,None,THE GIANT COMPANY LLC,,"1604 INDUSTRIAL DR
            CARLISLE, PA   17013-1665",(717) 240-7580,"1604 INDUSTRIAL DR
          CARLISLE, PA   17013-1665",5874,,MC-371130,13-932-165,359,435,01/30/2023,"15,679,304 (2022)"
CARRIER,ACTIVE,None,GILL ROCK DRILL CO INC,,"903-905 CORNWALL ROAD
            LEBANON, PA   17042-7040",(717) 272-3861,"903-905 CORNWALL ROAD
          LEBANON, PA   17042-7040",5877,,,30-182-64,12,10,05/31/2023,"110,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,HOWARD E GROFF COMPANY,ON-SITE CONTAINERS,"111 E STATE ST
            QUARRYVILLE, PA   17566-1298",(717) 786-2168,"111 E STATE ST
          QUARRYVILLE, PA   17566-1298",5900,,MC-494029,14-489-736,3,2,04/18/2023,"33,000 (2021)"
CARRIER,ACTIVE,None,GROVE US LLC,,"1565 BUCHANAN TRAIL EAST
            SHADY GROVE, PA   17256",(717) 597-8121,"1565 BUCHANAN TRAIL EAST
          SHADY GROVE, PA   17256",5902,,,49-030-034,1,4,02/23/2023,1 (2022)
CARRIER,AUTHORIZED FOR Passenger,None,ROYAL COACH LINES INC,,"1010 NEPPERHAN AVENUE
            YONKERS, NY   10703",(914) 965-0733,"1010 NEPPERHAN AVENUE
          YONKERS, NY   10703",5920,,MC-139888,70-961-990,628,583,07/22/2022,"4,840,469 (2021)"
CARRIER,ACTIVE,None,ROSNEN'S SUPPLY CORP,,"220  NEW MAIN ST
            YONKERS, NY   10701",,"220  NEW MAIN ST
          YONKERS, NY   10701",5940,,,98-484-074,1,1,,
CARRIER,ACTIVE,None,ESTRADE FERNANDO,,"37-2397 ST
            CORONA, NY   11368",,"37-2397 ST
          CORONA, NY   11368",5942,,,--,1,1,02/21/2002,
CARRIER,ACTIVE,None,ROSEDALE NURSERIES INC,,"51 SAW MILL RIVER RD
            HAWTHORNE, NY   10532",(914) 769-1300,"51 SAW MILL RIVER RD
          HAWTHORNE, NY   10532",5954,,,12-716-734,23,40,02/07/2023,"136,989 (2022)"
CARRIER,ACTIVE,None,CLARE ROSE INC,,"100 ROSE EXCUTIVE BLVD
            EAST YAPHANK, NY   11967",(631) 475-1840,"100 ROSE EXECUTIVE BLVD
          EAST YAPHANK, NY   11967",5960,,,--,65,55,09/22/2022,"1,074,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,RUSSIN LUMBER CORP,RUSSIN,"21 LEONARDS DRIVE
            MONTGOMERY, NY   12549",(845) 457-4000,"21 LEONARDS DRIVE
          MONTGOMERY, NY   12549",6016,,MC-281652,12-635-538,9,10,06/26/2023,"800,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,U SANTINI INC,,"239 15 ST
            BROOKLYN, NY   11215",(718) 768-6778,"239 15 ST
          BROOKLYN, NY   11215",6038,,MC-46989,52-824-810,6,5,06/14/2023,"38,000 (2020)"
CARRIER,"AUTHORIZED FOR Property, HHG",None,A SANTINI STORAGE CO OF NJ INC,A SANTINI MOVING & STORAGE CO,"6A FITZGERALD AVENUE
            MONROE TOWNSHIP, NJ   08831",(973) 228-7211,"101 EISENHOWER PKWY STE A-9
          ROSELAND, NJ   07068",6045,,MC-53438,12-214-5352,20,11,05/24/2023,"876,388 (2022)"
CARRIER,AUTHORIZED FOR Property,None,GEORGE SAYEGH TRUCKING CO INC,,"1089 HUDSON STREET
            UNION, NJ   07083",(908) 810-6700,"1089 HUDSON STREET
          UNION, NJ   07083",6048,,MC-704330,--,2,2,06/05/2023,"7,197 (2022)"
CARRIER,ACTIVE,None,MARKET MEATS INC,MARKET DISTRIBUTORS,"355 FOOD CENTER DR
            BRONX, NY   10474",(718) 991-5800,"355 FOOD CENTER DR
          BRONX, NY   10474",6054,,,79-914-198,10,10,02/06/2023,"207,112 (2022)"
SHIPPER,ACTIVE,None,OMG FIDELITY CHEMICAL,,"400 CORPORATE CT STE A
            SOUTH PLAINFIELD, NJ   07080",(201) 242-4110,"400 CORPORATE CT STE A
          NEWARK, NJ   07080",6082,,,04-986-5769,,,04/26/2006,
CARRIER,ACTIVE,None,FALSTROM COMPANY INCORPORATED,,"1 FALSTROM CT
            PASSAIC, NJ   07055-4443",(973) 777-0013,"P O BOX 118
          PASSAIC, NJ   07055-0118",6123,,,21-804-38,1,2,03/04/2006,"20,000 (2005)"
CARRIER,ACTIVE,None,SANDY'S SCRAP METALS INC,,"9 WALNUT PLACE
            THORNWOOD, NY   10594",(914) 769-1422,"9 WALNUT PLACE
          THORNWOOD, NY   10594",6131,,,13-550-8885,,,,
CARRIER,ACTIVE,None,J SCARAMELLA TRUCKING LTD,,"300 SOUTH AVE
            STATEN ISLAND, NY   10303",(718) 983-8855,"PO BOX 476
          STATEN ISLAND, NY   10302",6177,,,--,16,16,07/13/2023,"167,237 (2020)"
CARRIER,AUTHORIZED FOR HHG,None,WILLIE CLARK MOVING & STORAGE INC,,"120 FULTON STREET
            WHITE PLAINS, NY   10606",(914) 948-8344,"120 FULTON STREET
          WHITE PLAINS, NY   10606",6178,,MC-23033,--,1,2,03/21/2023,"7,000 (2022)"
CARRIER,ACTIVE,None,GAGNE & SON LLC,,"28 OLD RTE 27 RD
            BELGRADE, ME   04917",(207) 495-3313,"28 OLD RTE 27 RD
          BELGRADE, ME   04917",6232,,,10-973-10,18,9,05/09/2023,"209,832 (2020)"
CARRIER,ACTIVE,None,ORANGE DIE CUTTING CORP,ORANGE PACKAGING,"1 FAVORITI AVENUE
            NEWBURGH, NY   12550-0605",(845) 562-0900,"1 FAVORITI AVENUE
          NEWBURGH, NY   12550-0605",6272,,,20-134-98,1,1,11/07/2023,"15,000 (2022)"
CARRIER,AUTHORIZED FOR Passenger,None,OLYMPIA TRAILS BUS CO INC,NEWARK AIRPORT EXPRESS,"349 1ST STREET
            ELIZABETH, NJ   07206-4010",(908) 372-6132,"349 1ST STREET
          ELIZABETH, NJ   07206-4010",6280,,MC-138146,64-287-410,15,17,11/29/2023,"292,397 (2022)"
CARRIER,AUTHORIZED FOR Property,None,OLPAG INC,,"750 RAILROAD AVE
            WEST BABYLON, NY   11704-7829",(631) 752-9853,"750 RAILROAD AVE
          WEST BABYLON, NY   11704-7829",6282,,MC-128524,61-956-538,18,20,02/02/2023,"706,854 (2022)"
CARRIER,AUTHORIZED FOR Property,None,MORRISSEY'S HORSE PULLMANS INC,,"569 ROUTE 22
            PAWLING, NY   12564",(845) 855-5025,"569 ROUTE 22
          PAWLING, NY   12564",6349,,MC-109502,48-146-807,4,18,11/21/2023,"257,457 (2021)"
CARRIER,ACTIVE,None,MONTICELLO GREENHOUSES INC,,"217 EAST BROADWAY
            MONTICELLO, NY   12701",(845) 794-4220,"217 EAST BROADWAY
          MONTICELLO, NY   12701",6352,,,12-901-872,2,1,11/15/2023,1 (2022)
CARRIER,ACTIVE,None,MONTFORT BROS INC,,"44 ELM ST
            FISHKILL, NY   12524-1851",(845) 896-6694,"44 ELM ST
          FISHKILL, NY   12524-1851",6353,,,42-465-674,6,5,03/07/2023,"300,000 (2022)"
CARRIER,AUTHORIZED FOR Passenger,None,LEPRECHAUN LINES INC,,"200 LEPRECHAUN LANE
            NEW WINDSOR, NY   12553",(845) 565-7900,"200 LEPRECHAUN LANE
          NEW WINDSOR, NY   12553",6379,,MC-112108,62-369-8354,22,20,09/12/2023,"790,761 (2022)"
CARRIER,ACTIVE,None,DOWAL PLUMBING SUPPLY COMPANY INC,JD JOHNSON COMPANY,"184 CHURCH STREET
            POUGHKEEPSIE, NY   12602",(845) 452-3200,"184 CHURCH STREET
          POUGHKEEPSIE, NY   12602",6403,,,69-937-37,5,5,01/17/2023,"3,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,JIFFY TRUCKING INC,,"455 16TH STREET
            CARLSTADT, NJ   07072",(201) 935-7717,"455 16TH STREET
          CARLSTADT, NJ   07072",6406,,MC-129832,30-485-627,5,1,01/20/2023,"32,474 (2022)"
SHIPPER,ACTIVE,None,FYN PAINT & LACQUER CO INC,,"229 KENT AVE
            BROOKLYN, NY   11211-4112",(718) 388-4130,"229 KENT AVE
          BROOKLYN, NY   11211-4112",6422,,,00-127-0867,,,01/29/2008,
CARRIER,AUTHORIZED FOR Property,None,PACKAGE PAVEMENT CO INC,PACKAGE PAVEMENT,"3530 ROUTE 52
            STORMVILLE, NY   12582",(845) 221-2224,"PO BOX 408
          STORMVILLE, NY   12582",6434,,MC-1379759,20-269-87,6,8,09/21/2023,"268,361 (2023)"
CARRIER,NOT AUTHORIZED,None,NYCONN HORSE TRANSPORTATION CORPORATION,NYCONN HORSE TRANSPORT,"361 ROUTE 312
            BREWSTER, NY   10509",(800) 624-4844,"183 SILVER SPRING RD
          WILTON, CT   06897",6445,,MC-108875,18-941-1465,1,5,05/04/2022,500 (2021)
CARRIER,ACTIVE,None,OSWALD H C SUPPLY CO INC,,"725 WHITTIER ST
            BRONX, NY   10474",(718) 620-1400,"P O BOX 740607
          BRONX, NY   10474",6450,,,14-641-06,3,2,01/27/2023,"12,000 (2022)"
CARRIER,"AUTHORIZED FOR Property, HHG",None,GLOBE STORAGE & MOVING CO INC,,"665 BROADWAY-SUITE 301
            NEW YORK, NY   10012-2439",(212) 925-3555,"665 BROADWAY-SUITE 301
          NEW YORK, NY   10012-2439",6451,,MC-24322,12-037-644,8,8,01/20/2023,"30,000 (2022)"
CARRIER,ACTIVE,None,NORTHERN ADHESIVES INC,,"83 APOLLO ST
            BROOKLYN, NY   11222-3802",(718) 388-5834,"83 APOLLO ST
          BROOKLYN, NY   11222-3802",6456,,,13-709-23,2,2,06/15/2005,"100,000 (2002)"
CARRIER,ACTIVE,None,GAMBARDELLAS WHOLESALE FISH DEALER INC,,"419 NORTH HIGH STREET
            EAST HAVEN, CT   06512",(203) 467-2800,"419 NORTH HIGH STREET
          EAST HAVEN, CT   06512",6566,,,48-583-652,1,1,11/29/2022,"1,100 (2021)"
CARRIER/SHIPPER,ACTIVE,None,GENERAL ELECTRIC COMPANY,GE,"41 FARNSWORTH ST
            BOSTON, MA   02210",(518) 385-0700,"1 RIVER ROAD - GE BLDG 273
          SCHENECTADY, NY   12345",6569,,,13-679-60,9,19,09/01/2022,"100,000 (2022)"
CARRIER,ACTIVE,None,GIERING METAL FINISHING INC,,"2655 STATE ST
            HAMDEN, CT   06517-2225",(203) 248-5583,"2655 STATE ST
          HAMDEN, CT   06517-2225",6578,,,11-851-64,3,1,06/21/2023,"71,262 (2022)"
CARRIER,ACTIVE,None,THE PHILADELPHIA INQUIRER LLC,,"130 WHARTON RD SUITE C
            BRISTOL, PA   19007",(610) 292-6223,"130 WHARTON RD SUITE C
          BRISTOL, PA   19007",6610,,,51-393-296,1,1,02/24/2023,"70,000 (2022)"
CARRIER,ACTIVE,None,PECO ENERGY COMPANY,PECO,"1050 SWEDESFORD RD
            BERWYN, PA   19312-1080",(610) 648-7760,"1050 SWEDESFORD RD
          BERWYN, PA   19312-1080",6612,,,--,"1,070","1,070",02/20/2023,"10,274,258 (2022)"
CARRIER/SHIPPER,ACTIVE,None,PERKINS GARAGE INC,PERKINS - T P TRAILERS,"703 W RIDGE PIKE
            LIMERICK, PA   19468",(610) 495-4530,"703 W RIDGE PIKE
          LIMERICK, PA   19468",6617,,,44-554-061,10,5,07/31/2023,"200,000 (2022)"
CARRIER,ACTIVE,None,PERGINE'S PRODUCE,,"419  JEFFERSON STREET
            PLYMOUTH MEETING, PA   19462",(610) 834-0556,"419  JEFFERSON STREET
          PLYMOUTH MEETING, PA   19462",6624,,,--,2,1,03/27/2023,"18,400 (2022)"
CARRIER,NOT AUTHORIZED,None,A PENZA INC,,"6700 ESSINGTON AVENUE UNIT G-7
            PHILADELPHIA, PA   19153",(215) 336-5018,"6700 ESSINGTON AVENUE UNIT G-7
          PHILADELPHIA, PA   19153",6629,,,14-783-229,12,11,10/05/2022,"594,523 (2021)"
CARRIER,ACTIVE,None,NEW DEAL LUMBER & MILLWORK CO INC,,"5149 LANCASTER AVE
            PHILADELPHIA, PA   19131-4434",(215) 477-3500,"5149 LANCASTER AVE
          PHILADELPHIA, PA   19131-4434",6663,,,--,3,1,06/05/2014,"15,000 (2013)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,PILOT AIR FREIGHT LLC,PILOT FREIGHT SERVICES,"2 BRAXTON WAY STE 400
            GLEN MILLS, PA   19342",(610) 891-8100,"2 BRAXTON WAY STE 400
          GLEN MILLS, PA   19342",6682,,"MC-389460
 FF-2037",57-132-219,296,303,10/26/2023,"1,650,000 (2021)"
CARRIER,AUTHORIZED FOR Passenger,None,DAWSON BUS SERVICE INC,,"405 E CAMDEN WYOMING AVENUE
            CAMDEN, DE   19934-1211",(302) 697-9501,"405 E CAMDEN WYOMING AVENUE
          CAMDEN, DE   19934-1211",6694,,"FF-8842
 MC-8842",87-874-83,40,42,04/19/2023,"390,000 (2022)"
CARRIER,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,None,DELAWARE EXPRESS CO,,"802 ELKTON BLVD
            ELKTON, MD   21921-5324",(410) 398-1733,"P O BOX 97
          ELKTON, MD   21922-0097",6696,,MC-114301,59-180-281,46,48,01/31/2022,"3,195,643 (2020)"
CARRIER,NOT AUTHORIZED,None,DENNIS STORAGE CO INC,,"604 W RAILROAD AVE
            SALISBURY, MD   21804-3740",(410) 742-1171,"P O BOX 1996
          SALISBURY, MD   21802-1996",6698,,"MC-76780
 MC-111964",68-674-51,10,4,09/27/2011,"103,335 (2000)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,CONTRACTUAL CARRIERS INC,,"104 ALAN DRIVE HARMONY INDUSTRIAL PARK
            NEWARK, DE   19711-8098",(302) 453-1420,"104 ALAN DRIVE HARMONY IND PK
          NEWARK, DE   19711",6700,,MC-146202,79-494-514,15,12,10/04/2023,"516,782 (2022)"
CARRIER,AUTHORIZED FOR Property,None,BERRY VAN LINES INC,,"602 PEAR STREET
            DOVER, DE   19904-2832",(302) 674-1300,"602 PEAR STREET
          DOVER, DE   19904-2832",6722,,MC-2607,11-003-530,11,3,07/06/2023,"19,450 (2022)"
CARRIER,AUTHORIZED FOR Property,None,BOULDEN BUSES INC,,"32 HONEYSUCKLE DRIVE
            WILMINGTON, DE   19804",(302) 998-5463,"32 HONEYSUCKLE DRIVE
          WILMINGTON, DE   19804",6727,,MC-95327,29-417-115,12,16,09/20/2022,"100,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,GARDA CL ATLANTIC INC,,"2000 NW CORPORATE BLVD
            BOCA RATON, FL   33431",(561) 939-7000,"2000 NW CORPORATE BLVD
          BOCA RATON, FL   33431",6731,,"MC-115601
 MC-128570",54-727-995,385,631,01/30/2023,"6,780,000 (2022)"
CARRIER,NOT AUTHORIZED,None,BRYAN AND BRITTINGHAM INC,,"38148 BI STATE BLVD
            DELMAR, DE   19940",(302) 846-9500,"PO BOX 156
          DELMAR, DE   19940",6733,,MC-134719,57-158-180,1,1,07/28/2023,"15,119 (2022)"
CARRIER,NOT AUTHORIZED,None,BURRIS EXPRESS CO,,"501 SE 5TH STREET
            MILFORD, DE   19963",(302) 839-5148,"501 SE 5TH STREET  PO BOX 219
          MILFORD, DE   19963",6735,,MC-138377,14-725-0419,1,1,05/03/2023,"1,000 (2022)"
CARRIER,"AUTHORIZED FOR Property, HHG",None,ALLSTATE VAN & STORAGE CORP,,"900 INTERCHANGE BLVD
            NEWARK, DE   19711-3563",(302) 369-0230,"900 INTERCHANGE BLVD
          NEWARK, DE   19711-3563",6740,,MC-107300,62-279-815,2,3,06/06/2022,"4,250 (2021)"
CARRIER,ACTIVE,None,LANFORD BROTHERS COMPANY INC,,"122 NORTH COMMERCE STREET
            ROANOKE, VA   24019",(540) 992-2140,"PO BOX 7330
          ROANOKE, VA   24019-0330",6779,,,68-500-69,177,88,09/13/2023,"122,228 (2022)"
CARRIER,ACTIVE,None,LAWSON BUILDING SUPPLY INC,,"111 ENTERPRISE  DR
            RILL - ROSE HILL, VA   24281",(276) 445-5411,"111 ENTERPRISE  DR
          RILL - ROSE HILL, VA   24281",6784,,,23-949-100,4,4,02/21/2022,"1,864 (2021)"
CARRIER,ACTIVE,None,THOS SOMERVILLE CO,,"16155 TRADE ZONE AVENUE
            UPPER MARLBORO, MD   20774",(301) 390-9575,"16155 TRADE ZONE AVENUE
          UPPER MARLBORO, MD   20774",6789,,,32-427-81,63,74,12/28/2022,"1,451,225 (2015)"
CARRIER,AUTHORIZED FOR Property,None,SPECIFIED COMMODITY CARRIERS INC,,"1327 BAUGHER ROAD
            WESTMINSTER, MD   21158",(410) 840-3222,"POST OFFICE BOX 1572
          WESTMINSTER, MD   21158",6862,,"MC-112668
 MC-138212",64-902-596,14,10,02/03/2022,"730,844 (2021)"
CARRIER,AUTHORIZED FOR Property,None,EDWARD T SMITH & SONS INC,,"4514 HOLLINS FERRY ROAD
            HALETHORPE, MD   21227",(410) 242-4749,"4514 HOLLINS FERRY ROAD
          HALETHORPE, MD   21227",6884,,MC-850889,--,5,3,12/12/2022,"170,192 (2022)"
CARRIER,ACTIVE,None,JOHN W RITTER TRUCKING INC,,"8271 BROCK BRIDGE RD
            LAUREL, MD   20724",(480) 582-2760,"8271 BROCK BRIDGE RD
          LAUREL, MD   20724",6903,,,34-270-10,80,127,03/20/2023,"10,000,000 (2022)"
CARRIER/SHIPPER,"AUTHORIZED FOR Property, HHG",None,RUKERT TERMINALS CORPORATION,,"2021 S CLINTON ST
            BALTIMORE, MD   21224-0163",(410) 522-4599,"P O BOX 5163
          BALTIMORE, MD   21224-0163",6922,,MC-543139,69-504-14,30,25,03/21/2023,"829,923 (2021)"
CARRIER,AUTHORIZED FOR Property,None,THE HARVEY SALT COMPANY,,"1325 MOHRS LANE
            BALTIMORE, MD   21220",(410) 391-9100,"1325 MOHRS LANE
          BALTIMORE, MD   21220",6931,,MC-165700,77-410-389,17,12,10/02/2023,"817,440 (2022)"
CARRIER,ACTIVE,None,SCHMIDT BAKING COMPANY,,"7801 FITCH LANE
            NOTTINGHAM, MD   21236",(410) 668-8200,"7801 FITCH LANE
          BALTIMORE, MD   21236-3998",6943,,,30-611-24,48,129,03/31/2022,"1,584,006 (2021)"
CARRIER/CARGO TANK,Inactive USDOT Number per 49 CFR 390.19(b)(4); Biennial update of MCS-150 data not completed,None,RAND'S TRANSPORT INC,,"7056 AVIATION BLVD
            GLEN BURNIE, MD   21061",(410) 761-7000,"7056 AVIATION BLVD
          GLEN BURNIE, MD   21061",6956,,MC-123156,37-976-02,1,1,08/07/2021,"260,000 (2018)"
CARRIER/SHIPPER,ACTIVE,None,THE REISTERSTOWN LUMBER CO,,"13040 OLD HANOVER RD
            REISTERSTOWN, MD   21136-0337",(410) 833-1300,"PO BOX 337
          REISTERSTOWN, MD   21136-0337",6971,,,31-004-35,6,6,01/31/2023,"109,000 (2020)"
CARRIER,ACTIVE,None,THE ROBERT B BALTER COMPANY,,"18 MUSIC FAIR RD
            OWINGS MILLS, MD   21117",(410) 363-1555,"18 MUSIC FAIR RD
          OWINGS MILLS, MD   21117",6995,,,24-401-509,2,2,05/08/2023,"10,000 (2022)"
CARRIER,ACTIVE,None,CHARLES F WEBER CO INC,,"600 DORSEY ROAD
            PRINCE FREDERICK, MD   20678",(410) 535-1155,"PO BOX 24
          PRINCE FREDERICK, MD   20678",7003,,,22-652-192,1,2,04/07/2022,"4,000 (2021)"
CARRIER,AUTHORIZED FOR Passenger,None,WHITCRAFT SERVICES INC,,"20756 OLD YORK RD
            PARKTON, MD   21120-9139",(410) 343-2565,"20756 OLD YORK RD
          PARKTON, MD   21120-9139",7020,,MC-710076,27-789-00,55,73,08/25/2022,"1,017,124 (2019)"
CARRIER,ACTIVE,None,THE WINNER DISTRIBUTING CO,,"7616 CANTON CTR DR
            BALTIMORE, MD   21224",(410) 282-1600,"7616 CANTON CTR DR
          BALTIMORE, MD   21224",7027,,,--,98,62,06/24/2002,"250,000 (2001)"
CARRIER,ACTIVE,None,BLUE RIBBON PROPERTY IMPROVEMENTS LLC,NEW HAMPSHIRE LANDSCAPING,"17 LEHOUX DRIVE
            HOOKSETT, NH   03106",(603) 624-5400,"PO BOX 16717
          HOOKSETT, NH   03106",7038,,,18-939-579,6,2,07/17/2023,10 (2022)
CARRIER,ACTIVE,None,NHI MECHANICAL MOTION LLC,NEW HAMPSHIRE INDUSTRIES,"35 CONNECTICUT RIVER BEND PLACE
            CLAREMONT, NH   03743",(603) 448-1090,"35 CONNECTICUT RIVER BEND PLAC
          CLAREMONT, NH   03743",7045,,,60-181-0823,2,2,04/11/2022,"6,000 (2021)"
CARRIER,ACTIVE,None,M J MURPHY & SON INC,,"4 GRANITE ST
            DOVER, NH   03820",(603) 742-1223,"4 GRANITE ST
          DOVER, NH   03820",7061,,,38-937-73,4,2,05/04/2023,"15,000 (2022)"
CARRIER,ACTIVE,None,NORTHSTAR STEEL AND ALUMINUM INC,,"205 BOUCHARD ST
            MANCHESTER, NH   03103-3313",(603) 668-3600,"P O BOX 4886
          MANCHESTER, NH   03108-4886",7068,,,52-018-835,5,4,08/21/2023,"208,000 (2019)"
CARRIER,ACTIVE,None,NASHUA LUMBER CO INC,,"22 KEHOE AVE
            NASHUA, NH   03060-3915",(603) 882-2708,"22 KEHOE AVE
          NASHUA, NH   03060-3915",7077,,,14-224-01,1,1,05/10/2023,"10,000 (2000)"
CARRIER,ACTIVE,None,RICHARD HICKS JR & SR,P A HICKS & SONS INC,"120 MAIN ST
            COLEBROOK, NH   03576-1016",(603) 237-4431,"120 MAIN ST
          COLEBROOK, NH   03576-1016",7105,,,14-782-7406,2,3,09/29/2022,"14,750 (2021)"
CARRIER,ACTIVE,None,R E HINKLEY CO INC,,"8 LANE RIDGE RD
            CLAREMONT, NH   03743-2774",(603) 543-3571,"P O BOX 832
          CLAREMONT, NH   03743-0832",7116,,,48-725-048,18,6,01/18/2023,"114,000 (2020)"
CARRIER,ACTIVE,None,HITCHINER MFG CO INC,,"594 ELM STREET
            MILFORD, NH   03055",(603) 732-1721,"P O BOX 2001
          MILFORD, NH   03055",7117,,,10-786-82,2,3,05/09/2023,"74,000 (2023)"
CARRIER,ACTIVE,None,HUBBARD LLC,,"195 MAIN STREET
            WALPOLE, NH   03608",(423) 447-7372,"1070 MAIN STREET
          PIKEVILLE, TN   37367",7131,,,14-260-63,14,11,10/18/2023,"80,000 (2022)"
CARRIER,ACTIVE,None,SANDERS LOBSTER COMPANY INC,,"54 PRAY ST
            PORTSMOUTH, NH   03801-5226",(603) 436-3716,"54 PRAY ST
          PORTSMOUTH, NH   03801-5226",7148,,,18-962-274,1,5,07/12/2022,"1,000 (2021)"
CARRIER,ACTIVE,None,RUSSELL J STODDARD,RUSSELL STODDARD TRUCKING,"14 STODDARD DRIVE
            WEST CHESTERFIELD, NH   03466",(603) 256-6363,"PO BOX 82
          WEST CHESTERFIELD, NH   03466",7167,,,--,1,1,06/29/2023,"102,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,HARDING METALS INC,,"42 HARDING DRIVE
            NORTHWOOD, NH   03261-9738",(603) 942-5573,"P O BOX 418
          NORTHWOOD, NH   03261-0418",7183,,MC-1264213,18-955-641,33,23,10/17/2023,"605,674 (2021)"
CARRIER,ACTIVE,None,BROOKDALE FRUIT FARM INC,,"38 BROAD STREET
            HOLLIS, NH   03049",(603) 465-2241,"PO BOX 389
          HOLLIS, NH   03049",7184,,,18-918-870,5,3,05/22/2023,"90,000 (2022)"
CARRIER,ACTIVE,None,THE HARRIS CONSTRUCTION CO INC,,"177 SHARON ROAD
            PETERBOROUGH, NH   03458-0266",(603) 924-3262,"PO BOX 266
          PETERBOROUGH, NH   03458",7187,,,88-194-43,6,4,03/15/2013,"20,000 (2012)"
CARRIER,ACTIVE,None,CARROLL LUCAS,HARRIS ENERGY,"456 WEST MAIN ST
            LITTLETON, NH   03561",(603) 444-2774,"PO BOX 43
          LITTLETON, NH   03561",7189,,,--,8,6,09/27/2023,"15,000 (2020)"
CARRIER,ACTIVE,None,TRUMBULL-NELSON CONSTRUCTION CO INC,,"19 PLAZA HEIGHTS
            WEST LEBANON, NH   03784-4404",(603) 643-3658,"19 PLAZA HEIGHTS
          WEST LEBANON, NH   03784-4404",7218,,,12-277-2304,3,1,07/27/2023,"10,000 (2022)"
